# ----------------------------------------
# Raw data
# Pages
# 20190103-20210103
# ----------------------------------------

Page Title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
Honey: 15 Medicinal Health Benefits of Honey!! | moonchat.in,46,40,00:03:13,4,75.00%,23.91%,$0.00
moonchat.in | Page 2 of 38 | We Care For You,46,39,00:00:27,12,91.67%,34.78%,$0.00
Onion Nutrition: 10 Impressive Health Benefits of Onions | moonchat.in,46,43,00:04:13,38,86.84%,78.26%,$0.00
Importance of Iron: Iron and its Importance in Human Body | moonchat.in,45,37,00:02:10,33,78.79%,73.33%,$0.00
Vitamin D: Top 10 Vitamin D Rich Foods for Vegetarians & Non-Vegetarians | moonchat.in,45,40,00:02:15,39,89.74%,84.44%,$0.00
12 tips to make a woman happy during pregnancy | moonchat.in,42,38,00:01:17,11,81.82%,52.38%,$0.00
Magnesium: What is Magnesium and their Health Benefits!! | moonchat.in,42,38,00:01:11,21,95.24%,57.14%,$0.00
Top 6 Uses of Vitamin E Capsules for Skin and Hair Care | moonchat.in,41,30,00:02:48,28,78.57%,70.73%,$0.00
Beauty Archives | moonchat.in,40,30,00:01:00,7,85.71%,17.50%,$0.00
பிராய்லர் சிக்கன் பக்க விளைவுகள்: 7 [ஆபத்தான] பிராய்லர் சிக்கன் சாப்பிடுவதால் ஏற்படும் சுகாதார அபாயங்கள் | moonchat.in,40,36,00:09:20,36,91.67%,87.50%,$0.00
Antioxidant Foods: Top 17 Foods High in Antioxidants and their Benefits | moonchat.in,39,34,00:03:20,26,76.92%,61.54%,$0.00
Obesity: Reasons that cause obesity! Everyone should know!! | moonchat.in,39,37,00:02:37,12,100.00%,48.72%,$0.00
Carrots: 10 impressive Health Benefits of Carrots!! | moonchat.in,36,31,00:10:27,30,90.00%,80.56%,$0.00
Glowing Skin: 7 Best Food for Glowing Skin | moonchat.in,36,34,00:03:28,28,96.43%,80.56%,$0.00
Dry Lips: 10 Simple Home Remedies for Dry Lips | moonchat.in,34,29,00:00:45,20,85.00%,76.47%,$0.00
Foods for Healthy Joints: 12 Amazing Foods for Healthy Joints! | moonchat.in,32,28,00:03:10,19,89.47%,59.38%,$0.00
Anitha suicide: The first victim of NEET | moonchat.in,31,30,00:00:29,28,96.43%,90.32%,$0.00
Hair fall: How to Stop Hair fall and Improve Hair Growth? Important Tips | moonchat.in,31,28,00:02:24,13,69.23%,35.48%,$0.00
Zinc Benefits: 12 Health Benefits of Zinc and their Sources,31,28,00:00:57,15,86.67%,61.29%,$0.00
Most attractive Body parts in Men according to women!! | moonchat.in,30,29,00:00:52,29,96.55%,96.67%,$0.00
Trending Archives | moonchat.in,30,23,00:00:30,8,87.50%,43.33%,$0.00
"Kidney Problems : Habits that Cause Kidney Problems, Everyone Should Know! | moonchat.in",29,28,00:02:35,25,96.00%,82.76%,$0.00
You searched for | moonchat.in,28,17,00:00:39,0,0.00%,17.86%,$0.00
Are you Eating Non-Vegetarian foods daily?Know this facts | moonchat.in,27,26,00:01:00,20,95.00%,77.78%,$0.00
Blood Pressure: 7 Causes and Symptoms of High Blood Pressure ! | moonchat.in,27,22,00:00:30,8,75.00%,33.33%,$0.00
ब्रायलर चिकन साइड इफेक्ट्स: 7 [खतरनाक] खाने के स्वास्थ्य के खतरे ब्रायलर चिकन | moonchat.in,27,22,00:01:54,22,86.36%,77.78%,$0.00
Angry girl Archives | moonchat.in,26,22,00:01:53,22,81.82%,84.62%,$0.00
How to impress a boy | Tips to impress a boy you love | moonchat.in,26,23,00:00:50,12,91.67%,57.69%,$0.00
moonchat.in | Page 4 of 38 | We Care For You,25,22,00:00:22,3,100.00%,24.00%,$0.00
Nutrition Archives | Page 2 of 8 | moonchat.in,23,6,00:00:42,0,0.00%,4.35%,$0.00
Oranges : 10 Wonderful Health Benefits of Oranges ! | moonchat.in,23,21,00:00:14,19,89.47%,82.61%,$0.00
High heels : Dangers of Wearing high heels for Girls | moonchat.in,22,21,00:00:14,20,95.00%,90.91%,$0.00
Pomegranates:10 Health Benefits of Pomegranates | moonchat.in,22,22,00:00:11,8,100.00%,72.73%,$0.00
12 Best Cancer-Fighting Fruits List [Cancer Preventing Fruits] Everyone Should Know! | moonchat.in,21,17,00:04:15,10,80.00%,57.14%,$0.00
Nutrition Archives | Page 3 of 8 | moonchat.in,21,4,00:00:14,0,0.00%,14.29%,$0.00
Protein for Hair: Importance of Protein for Hair Growth | moonchat.in,21,21,00:01:29,14,92.86%,71.43%,$0.00
Dietary Fiber: Top 10 Fiber rich foods for Weight Loss | moonchat.in,20,17,00:02:53,11,90.91%,55.00%,$0.00
moonchat.in | Page 3 of 38 | We Care For You,20,18,00:00:19,5,100.00%,25.00%,$0.00
Side effects of eating broiler chicken Archives | moonchat.in,20,15,00:00:54,6,33.33%,55.00%,$0.00
Skipping Rope: 10 Benefits of Skipping/ Jumping Rope | moonchat.in,20,19,00:02:07,18,94.44%,90.00%,$0.00
Cholesterol: What is Cholesterol?| HDL and LDL Cholesterol | moonchat.in,19,14,00:02:08,12,58.33%,63.16%,$0.00
Gelatin: 12 Surprising Health Benefits and Uses of Gelatin | moonchat.in,18,17,00:01:38,16,87.50%,77.78%,$0.00
How to get Big Biceps? 7 Effective Exercises to get Massive Biceps | moonchat.in,18,17,00:00:36,9,77.78%,66.67%,$0.00
moonchat.in | Page 38 of 38 | We Care For You,18,15,00:00:14,5,100.00%,50.00%,$0.00
Protein Foods: Top 12 High Protein Foods You Need to Eat Daily! | moonchat.in,18,14,00:03:08,4,100.00%,38.89%,$0.00
moonchat.in | Page 5 of 38 | We Care For You,17,13,00:00:08,4,100.00%,29.41%,$0.00
"Arun, Author at moonchat.in | Page 4 of 30",16,13,00:00:10,3,33.33%,18.75%,$0.00
Health Archives | Page 2 of 28 | moonchat.in,16,11,00:00:57,1,0.00%,12.50%,$0.00
Relationship:Girls avoid these type of boys to have relationship | moonchat.in,16,16,00:00:00,16,100.00%,100.00%,$0.00
Velaikaran movie Teaser | Siva karthikeyan & Nayanthara | moonchat.in,16,16,00:00:00,16,100.00%,100.00%,$0.00
"SIVA, Author at moonchat.in | Page 2 of 3",15,5,00:00:30,0,0.00%,13.33%,$0.00
Weight loss: 10 Foods to Lose Weight(Weight loss Foods) Everyone Should Know!! | moonchat.in,15,11,00:03:10,4,100.00%,40.00%,$0.00
Aluminium Foil : Toxicity and Deathly Effects of Aluminium Foil | moonchat.in,14,12,00:08:21,12,83.33%,85.71%,$0.00
Potato Nutrition: 11 Incredible Health Benefits and Uses of Potato! | moonchat.in,14,10,00:04:27,8,62.50%,57.14%,$0.00
About | moonchat.in,13,11,00:00:31,8,50.00%,53.85%,$0.00
Friendship: How to Maintain Friendship? 9 Excellent tips! | moonchat.in,13,8,00:00:47,0,0.00%,15.38%,$0.00
Nutrition Archives | Page 7 of 8 | moonchat.in,13,2,00:00:10,0,0.00%,0.00%,$0.00
Seafood: 8 Health Benefits of Eating Seafood | moonchat.in,13,13,00:01:42,8,62.50%,46.15%,$0.00
Tik Tik Tik -Official Teaser| Jayam Ravi & Nivetha pethuraj | moonchat.in,13,12,00:01:28,11,90.91%,92.31%,$0.00
Antioxidants: What are Antioxidants and their Benefits! | moonchat.in,12,7,00:00:26,1,100.00%,25.00%,$0.00
Apple: 10 Wonderful Health Benefits of Apples | moonchat.in,12,10,00:01:35,5,100.00%,41.67%,$0.00
"Arun, Author at moonchat.in | Page 2 of 30",12,11,00:00:08,1,0.00%,8.33%,$0.00
Beauty Archives | Page 2 of 5 | moonchat.in,12,4,00:00:10,0,0.00%,8.33%,$0.00
Beer: 10 Unknown Health Benefits of Beer !! Don't miss it | moonchat.in,12,10,00:04:36,7,100.00%,66.67%,$0.00
Chickpeas: 10 Health Benefits of Chickpeas | moonchat.in,12,12,00:00:26,3,66.67%,16.67%,$0.00
Fitness Motivation: Best Ever Fitness Motivational Video | moonchat.in,12,10,00:00:48,8,75.00%,75.00%,$0.00
How I ran my first Half Marathon? | moonchat.in,12,11,00:03:00,5,80.00%,75.00%,$0.00
How to Gain Weight? 12 Amazing Diet and Exercise Tips to Gain Weight!! | moonchat.in,12,10,00:05:42,6,100.00%,58.33%,$0.00
Life: 20 Tips to Live Happy and Prosperous life!! | moonchat.in,12,12,00:00:10,11,100.00%,91.67%,$0.00
Whey Protein: Which is the best time to take Whey protein? | moonchat.in,12,12,00:00:52,10,100.00%,83.33%,$0.00
Garlic Benefits: 10 Surprising Uses and Health Benefits of Garlic! | moonchat.in,11,9,00:03:22,3,100.00%,45.45%,$0.00
Hair Growth: Foods for Healthy Hair and Prevent Hair fall | moonchat.in,11,8,00:06:54,1,100.00%,36.36%,$0.00
Metabolism: How to Increase Metabolism and Lose Weight Without Dieting | moonchat.in,11,11,00:01:35,7,85.71%,72.73%,$0.00
Sunflower Seeds: 14 Amazing Health Benefits of Sunflower Seeds | moonchat.in,11,11,00:01:06,5,100.00%,63.64%,$0.00
ബ്രോയിലർ ചിക്കൻ പാർശ്വഫലങ്ങൾ: 7 [അപകടകരമായ] ബ്രോയിലർ ചിക്കൻ കഴിക്കുന്നതിന്റെ ആരോഗ്യ അപകടങ്ങൾ | moonchat.in,11,11,00:00:00,11,100.00%,100.00%,$0.00
"2.0 : Making of 2.0 | Rajinikanth, Akshay Kumar | Shankar | moonchat.in",10,10,00:00:00,10,100.00%,100.00%,$0.00
8 tips to live longer without any Diseases | moonchat.in,10,10,00:00:25,8,100.00%,80.00%,$0.00
Bananas: 10 Unknown Health Benefits of Bananas! | moonchat.in,10,9,00:00:29,3,66.67%,40.00%,$0.00
Dark Circles: 10 Powerful Home Remedies for Dark Circles Under the Eyes | moonchat.in,10,10,00:02:35,5,100.00%,80.00%,$0.00
Fenugreek: 10 Wonderful Uses and Health Benefits of Fenugreek | moonchat.in,10,10,00:11:01,7,71.43%,70.00%,$0.00
Green Tea: Anti-aging Effects of Green Tea! | moonchat.in,10,6,00:00:46,3,33.33%,20.00%,$0.00
Health Archives | Page 3 of 28 | moonchat.in,10,7,00:00:14,0,0.00%,0.00%,$0.00
Heart Attack: 6 Habits that lead to the Heart Attack! Be Careful | moonchat.in,10,7,00:00:34,3,100.00%,30.00%,$0.00
Metabolism: Top 20 Metabolism Boosting Foods for Weight Loss | moonchat.in,10,9,00:01:15,4,100.00%,50.00%,$0.00
"Tamizharasan T, Author at moonchat.in",10,10,00:00:25,9,100.00%,90.00%,$0.00
7 main reasons why girls are attracting towards men | moonchat.in,9,8,00:01:04,3,100.00%,55.56%,$0.00
Beauty Archives | Page 4 of 5 | moonchat.in,9,3,00:00:07,0,0.00%,0.00%,$0.00
moonchat.in | Page 6 of 38 | We Care For You,9,6,00:00:09,0,0.00%,0.00%,$0.00
Nutrition Archives | Page 4 of 8 | moonchat.in,9,3,00:00:12,0,0.00%,0.00%,$0.00
Nutrition Archives | Page 6 of 8 | moonchat.in,9,2,00:00:19,0,0.00%,0.00%,$0.00
Nutrition Archives | Page 8 of 8 | moonchat.in,9,2,00:00:18,0,0.00%,0.00%,$0.00
You searched for Marathon | moonchat.in,9,6,00:07:34,4,50.00%,55.56%,$0.00
"Arun, Author at moonchat.in | Page 3 of 30",8,7,00:00:09,0,0.00%,0.00%,$0.00
Brain Damage: Habits that can damage your Brain!! Be careful | moonchat.in,8,8,00:00:00,8,100.00%,100.00%,$0.00
Fitness Archives | Page 2 of 5 | moonchat.in,8,5,00:01:51,0,0.00%,25.00%,$0.00
Jogging: 10 Benefits of Jogging/ Running | moonchat.in,8,6,00:00:36,2,50.00%,37.50%,$0.00
Nutrition Archives | Page 5 of 8 | moonchat.in,8,2,00:00:14,0,0.00%,0.00%,$0.00
Types of Vitamins: What are the functions and sources of all vitamins? | moonchat.in,8,6,00:01:33,3,100.00%,37.50%,$0.00
2.0 Archives | moonchat.in,7,7,00:00:00,7,100.00%,100.00%,$0.00
Bathing:Why we are Bathing? Not for cleanliness! Scientific facts!! | moonchat.in,7,5,00:01:21,4,75.00%,57.14%,$0.00
Beauty Archives | Page 3 of 5 | moonchat.in,7,2,00:00:08,0,0.00%,0.00%,$0.00
broiler Archives | moonchat.in,7,5,00:00:13,0,0.00%,28.57%,$0.00
Brown Rice Benefits: 10 Unbelievable Health Benefits of Brown Rice | moonchat.in,7,6,00:00:34,3,100.00%,57.14%,$0.00
Cinnamon Uses: 10 Wonderful Health Benefits of Cinnamon | moonchat.in,7,6,00:03:02,2,0.00%,42.86%,$0.00
Health Archives | Page 10 of 28 | moonchat.in,7,5,00:00:17,1,0.00%,0.00%,$0.00
Health Archives | Page 4 of 28 | moonchat.in,7,6,00:00:16,0,0.00%,14.29%,$0.00
Meat Archives | moonchat.in,7,7,00:00:20,3,66.67%,42.86%,$0.00
nivetha pethuraj Archives | moonchat.in,7,7,00:00:00,7,100.00%,100.00%,$0.00
Pineapples Health Benefits !! Unimaginable Benefits | moonchat.in,7,6,00:00:14,0,0.00%,0.00%,$0.00
Watermelon: 9 Unknown Health Benefits of Watermelon | moonchat.in,7,6,00:01:29,5,60.00%,57.14%,$0.00
Weight Loss Drinks: 7 Super Drinks that Help you to Lose Weight | moonchat.in,7,7,00:02:21,4,100.00%,57.14%,$0.00
Amla for Hair Growth: Health Benefits of Amla for Hair Growth | moonchat.in,6,5,00:05:23,0,0.00%,33.33%,$0.00
Author Archives | moonchat.in,6,5,00:00:10,1,0.00%,33.33%,$0.00
Diabetes: 7 Foods to Control your Blood Sugar Naturally! | moonchat.in,6,5,00:02:19,2,100.00%,33.33%,$0.00
Fitness Apps: Best Fitness Mobile Apps for weight loss! | moonchat.in,6,5,00:01:46,3,66.67%,50.00%,$0.00
Health Archives | Page 12 of 28 | moonchat.in,6,3,00:00:14,0,0.00%,0.00%,$0.00
Health Archives | Page 13 of 28 | moonchat.in,6,3,00:00:11,0,0.00%,0.00%,$0.00
Health Archives | Page 5 of 28 | moonchat.in,6,4,00:00:15,0,0.00%,0.00%,$0.00
Mango: Why we need to eat more mangoes?Health Benefits of Mangoes!! | moonchat.in,6,6,00:00:28,3,100.00%,50.00%,$0.00
moonchat.in | Page 37 of 38 | We Care For You,6,4,00:00:19,0,0.00%,16.67%,$0.00
moonchat.in | Page 7 of 38 | We Care For You,6,4,00:00:10,0,0.00%,0.00%,$0.00
Oil Archives | moonchat.in,6,6,00:00:00,6,100.00%,100.00%,$0.00
Walking: An easy anti-ageing solution | moonchat.in,6,5,00:02:51,1,100.00%,16.67%,$0.00
புரோலிலர் சிக்கன் பக்க விளைவுகள்: 7 [ஆபத்தான] சாப்பிடுவதின் பிரீமிலர் சிக்கன் | moonchat.in,6,6,00:00:00,6,100.00%,100.00%,$0.00
anxiety Archives | moonchat.in,5,5,00:00:00,5,100.00%,100.00%,$0.00
"Arun, Author at moonchat.in | Page 24 of 30",5,4,00:00:27,3,66.67%,60.00%,$0.00
Chapped lips Archives | moonchat.in,5,5,00:00:16,5,40.00%,40.00%,$0.00
Dry fruits! why we need to eat?Amazing Benefits!! | moonchat.in,5,5,00:01:40,3,66.67%,40.00%,$0.00
Health Archives | Page 6 of 28 | moonchat.in,5,4,00:00:12,0,0.00%,0.00%,$0.00
Health Archives | Page 8 of 28 | moonchat.in,5,4,00:00:17,0,0.00%,0.00%,$0.00
How to handle stress during working hours in office? | moonchat.in,5,5,00:00:00,4,100.00%,100.00%,$0.00
Papaya Fruit: 10 Surprising Health Benefits of Papaya!! | moonchat.in,5,5,00:00:21,1,100.00%,60.00%,$0.00
Skipping Breakfast : Very Dangerous Effects of Skipping Your Breakfast! | moonchat.in,5,5,00:01:05,4,100.00%,80.00%,$0.00
Weight Loss : How Your Fat burns When you lose your weight? | moonchat.in,5,5,00:00:18,2,100.00%,60.00%,$0.00
You searched for Realme cp | moonchat.in,5,1,00:00:16,0,0.00%,0.00%,$0.00
ब्रॉयलर चिकनचे दुष्परिणाम: 7 [धोकादायक] ब्रॉयलर चिकन खाण्याच्या आरोग्यास धोका moonchat.in,5,4,00:03:33,4,75.00%,80.00%,$0.00
"Arun, Author at moonchat.in | Page 5 of 30",4,3,00:00:13,1,0.00%,25.00%,$0.00
Blue Whale: Is it a game or trap? | moonchat.in,4,4,00:01:01,1,100.00%,25.00%,$0.00
"Bubal, Author at moonchat.in",4,4,00:00:24,0,0.00%,0.00%,$0.00
Coconut Oil For Skin: Benefits and Using Methods! | moonchat.in,4,4,00:00:05,0,0.00%,0.00%,$0.00
Cycling:Amazing way to maintain your health and fitness! | moonchat.in,4,2,00:00:40,0,0.00%,0.00%,$0.00
Expectations - 7 ways to avoid problems because of expectations | moonchat.in,4,4,00:00:00,4,100.00%,100.00%,$0.00
Face Wash For Dry Skin : Unknown Remedies | moonchat.in,4,4,00:00:42,0,0.00%,25.00%,$0.00
Fitness Archives | Page 3 of 5 | moonchat.in,4,3,00:00:30,0,0.00%,0.00%,$0.00
Fitness Archives | Page 4 of 5 | moonchat.in,4,2,00:00:23,0,0.00%,0.00%,$0.00
Health Archives | Page 11 of 28 | moonchat.in,4,3,00:01:31,0,0.00%,0.00%,$0.00
Health Archives | Page 14 of 28 | moonchat.in,4,3,00:00:25,0,0.00%,25.00%,$0.00
Health Archives | Page 15 of 28 | moonchat.in,4,3,00:00:10,0,0.00%,0.00%,$0.00
Health Archives | Page 25 of 28 | moonchat.in,4,2,00:00:06,0,0.00%,0.00%,$0.00
Health Archives | Page 7 of 28 | moonchat.in,4,4,00:00:14,0,0.00%,0.00%,$0.00
Health Archives | Page 9 of 28 | moonchat.in,4,4,00:00:15,0,0.00%,0.00%,$0.00
Myth: 5 Exercise Myths and Truths | moonchat.in,4,3,00:01:57,1,0.00%,25.00%,$0.00
Oily Skin Care at Home: Problems and Face Pack for Oily Skin! | moonchat.in,4,4,00:00:09,3,100.00%,75.00%,$0.00
"SIVA, Author at moonchat.in | Page 3 of 3",4,3,00:00:34,0,0.00%,0.00%,$0.00
Stress Management : Amazing methods to Handle Stress | moonchat.in,4,4,00:01:40,0,0.00%,0.00%,$0.00
You searched for Broiler | moonchat.in,4,3,00:00:12,0,0.00%,0.00%,$0.00
ব্রয়লার মুরগির পার্শ্ব প্রতিক্রিয়া: 7 [বিপজ্জনক] ব্রয়লার চিকেন খাওয়ার স্বাস্থ্যের ক্ষতি moonchat.in,4,4,00:00:00,4,100.00%,100.00%,$0.00
బ్రాయిలర్ చికెన్ దుష్ప్రభావాలు: 7 [ప్రమాదకరమైన] బ్రాయిలర్ చికెన్ తినడం వల్ల ఆరోగ్యానికి ప్రమాదాలు | moonchat.in,4,4,00:00:00,4,100.00%,100.00%,$0.00
Aloe Vera: Aloe Vera Face Packs to Get Beautiful and Glowing Skin. | moonchat.in,3,3,00:01:00,0,0.00%,33.33%,$0.00
Arthritis:12 Amazing Foods to Reduce Pain and Ease Arthritis Symptoms,3,3,00:02:07,0,0.00%,33.33%,$0.00
"Arun, Author at moonchat.in | Page 18 of 30",3,2,00:00:11,0,0.00%,33.33%,$0.00
"Arun, Author at moonchat.in | Page 6 of 30",3,2,00:00:09,0,0.00%,0.00%,$0.00
"Arun, Author at moonchat.in | Page 7 of 30",3,3,00:00:17,0,0.00%,33.33%,$0.00
"Arun, Author at moonchat.in | Page 8 of 30",3,3,00:00:06,0,0.00%,0.00%,$0.00
Back Pain: Top 4 effective Exercises to Cure Back Pain | moonchat.in,3,3,00:00:03,1,100.00%,33.33%,$0.00
Beautiful Skin: How to use Lemon Juice for Skin? | moonchat.in,3,3,00:00:17,1,100.00%,33.33%,$0.00
Beauty Archives | Page 5 of 5 | moonchat.in,3,1,00:00:10,0,0.00%,0.00%,$0.00
Blood increase Archives | moonchat.in,3,3,00:00:05,0,0.00%,0.00%,$0.00
